Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque
Jeep,Wagoneer S (Electric),Dual Electric Motors,100 kWh,600 л.с.,177 km/h,4.5 сек,6 080 000 руб.,Electric,5,850 Nm
Jeep,Gladiator Mojave Edition,3.6L V6 Pentastar Gasoline,3600 cc,285 л.с.,177 km/h,8.6 сек,3 919 320 руб.,Petrol,5,353 Nm
Jeep,Grand Cherokee Summit Reserve,5.7L V8 Gasoline,5700 cc,357 л.с.,190 km/h,7.3 сек,5 059 700 руб.,Petrol,5,529 Nm
Jeep,Jeep Cherokee X Edition,3.2L V6 Pentastar Gasoline,3200 cc,271 л.с.,195 km/h,7.6 сек,3 138 420 руб.,Petrol,5,324 Nm
Jeep,Wrangler 392,6.4L V8 HEMI Gasoline,6400 cc,470 л.с.,160 km/h,4.5 сек,6 269 620 руб.,Petrol,4,637 Nm
Cadillac,XT4,2.0L Turbo Inline-4 Gasoline,2000 cc,235 л.с.,220 km/h,7.6 сек,2 849 240 руб.,Petrol,5,350 Nm
Cadillac,XT5,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,6.5 сек,3 358 820 руб.,Petrol,5,366 Nm
Cadillac,XT6,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,6.9 сек,3 693 220 руб.,Petrol,7,366 Nm
Cadillac,Lyriq EV,Single Electric Motor,100 kWh,340 л.с.,190 km/h,5.7 сек,4 452 840 руб.,Electric,5,440 Nm
Cadillac,Escalade V,6.2L Supercharged V8 Gasoline,6200 cc,682 л.с.,200 km/h,4.4 сек,11 399 240 руб.,Petrol,7,885 Nm
Cadillac,Escalade Platinum,6.2L V8 Gasoline,6200 cc,420 л.с.,210 km/h,6.8 сек,7 949 220 руб.,Petrol,7,624 Nm
Cadillac,CT5-V Blackwing,6.2L Supercharged V8 Gasoline,6200 cc,668 л.с.,320 km/h,3.4 сек,6 992 000 руб.,Petrol,5,893 Nm
Cadillac,CT4-V Blackwing,3.6L Twin-Turbo V6 Gasoline,3600 cc,472 л.с.,290 km/h,3.9 сек,4 597 620 руб.,Petrol,5,603 Nm
Cadillac,XT4 Sport,2.0L Turbo Inline-4 Gasoline,2000 cc,235 л.с.,220 km/h,7.4 сек,3 145 640 руб.,Petrol,5,350 Nm
Cadillac,XT5 Sport,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,6.5 сек,3 883 220 руб.,Petrol,5,366 Nm
Cadillac,XT6 Sport,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,6.9 сек,4 339 220 руб.,Petrol,7,366 Nm
Cadillac,Lyriq Launch Edition,Single Electric Motor,100 kWh,340 л.с.,190 km/h,5.7 сек,4 559 240 руб.,Electric,5,440 Nm
Cadillac,Lyriq EV Premium,Dual Electric Motors,100 kWh,500 л.с.,210 km/h,4.5 сек,4 939 240 руб.,Electric,5,620 Nm
Cadillac,CT5 Premium Luxury,2.0L Turbo Inline-4 Gasoline,2000 cc,237 л.с.,240 km/h,6.8 сек,3 138 040 руб.,Petrol,5,350 Nm
Chevrolet,Spark,1.4L Inline-4 Gasoline,1400 cc,98 л.с.,180 km/h,10.7 сек,1 109 220 руб.,Petrol,5,127 Nm
Chevrolet,Sonic,1.4L Turbo Inline-4 Gasoline,1400 cc,138 л.с.,190 km/h,8.5 сек,1 270 720 руб.,Petrol,5,200 Nm
Chevrolet,Malibu,1.5L Turbo Inline-4 Gasoline,1500 cc,160 л.с.,210 km/h,8.0 сек,1 900 000 руб.,Petrol,5,250 Nm
Chevrolet,Camaro,2.0L Turbo Inline-4 Gasoline,2000 cc,275 л.с.,240 km/h,5.4 сек,2 006 400 руб.,Petrol,4,400 Nm
Chevrolet,Corvette,6.2L V8 Gasoline,6200 cc,495 л.с.,312 km/h,3.0 сек,5 008 020 руб.,Petrol,2,637 Nm
Chevrolet,Traverse,3.6L V6 Gasoline,3600 cc,310 л.с.,210 km/h,7.0 сек,2 729 540 руб.,Petrol,7,360 Nm
Chevrolet,Equinox,1.5L Turbo Inline-4 Gasoline,1500 cc,170 л.с.,200 km/h,8.9 сек,2 021 600 руб.,Petrol,5,275 Nm
Chevrolet,Blazer,3.6L V6 Gasoline,3600 cc,308 л.с.,220 km/h,6.6 сек,3 344 000 руб.,Petrol,5,366 Nm
Chevrolet,Tahoe,5.3L V8 Gasoline,5300 cc,355 л.с.,200 km/h,7.5 сек,4 331 620 руб.,Petrol,7,519 Nm
